id	title	abstract	keywords
70	中国文学地理学的研究范式与学科融合趋势	"文学地理学日益受到文学和地理学两大学科的重视,但是两大学科下的文学地理学研究的路径""大相径庭""。通过现有文献综述,对文学地理学的""文学面""与""地理面""进行梳理比较,发现目前文学学科对文学地理学的研究较为成熟,地理学科对文学地理学的重视程度与文学相比仍不足,且本土化研究基本缺失。现有基于学科的研究框架体系,造成了两个""文学地理学""的假象,亟待打破学科边界,从研究意义、研究理论和研究方法上逐步走向融合并轨。"	文学地理学 文学空间 人地关系 文化地理学
71	从当下实践出发建立文学研究的中国话语	正一、当前对待西方文论的两种态度随着中国的经济发展、国力增强,中国话语建设逐渐成为一个学界关注焦点。建立大国的学术,要有大的气象,要在世界上发出自己的声音,当然,学术话语的建构要用学术的方式,按照学术的发展规律来进行,要面对其独特的问题。建设中国文学研究的话语,首先碰到的问题就是如何对待西方文论。在西方思想的引介过程中,我国学术界出现了一些错误的倾向,形成了一些不正确的态度或者路径。	文学 文学理论 复数性 民族
72	马克思经济全球化思想的哲学阐释逻辑	马克思的经济全球化思想蕴含在他的哲学观、唯物史观以及世界历史理论之中。马克思的哲学变革为经济全球化思想提供了前提,即破解旧哲学的本体观念论,使哲学研究通达现实。这一哲学观的变革使得马克思能够从现实入的物质生产活动出发,破解人类社会发展之谜,揭示人类社会发展的规律和趋势。唯物史观揭示了世界历史形成发展的根源和趋势,由此形成了马克思的世界历史理论。马克思的世界历史理论揭示了人类社会从地域性历史向世界历史转变的根源、动力和趋势,科学地分析了资本主义在世界历史中的地位和作用,为认识经济全球化提供了思想武器。马克思的经济全球化思想主要揭示了经济全球化过程的性质及其趋势,强调经济全球化是资本主义全球扩张的产物,在经济全球化背景下,资本主义所固有的基本矛盾依然存在。只有在整体性视域内,从马克思的哲学观、唯物史观以及世界历史理论出发,才能认清经济全球化的实质及其发展趋势。	哲学观 唯物史观 世界历史理论 经济全球化
73	基于游客视角的历史街区旅游发展模式影响机理及创新——以苏州平江路为例	"历史街区是重要的文化遗产保护对象,但原真文化僵化保护和过度商业化成为阻碍历史街区可持续发展的两大症结。构建了影响历史街区旅游发展模式支持度的结构方程假设模型,以苏州平江路为例实证研究历史街区旅游发展模式支持度影响因素,并提出历史街区旅游发展创新型模式。结果显示:1传统文化与现代文化共生、消费需求和景观及空间意象是影响历史街区旅游发展支持度的关键因素,业态分布及类型、街道布局及功能和历史信息传达是重要因素;2传统文化与现代文化共生对支持度影响程度最大,其次为消费需求;3构建了以传统与现代和谐共生的城市文化为基础,以满足游客体验和休闲需求为驱动力,以""创意化""、""人性化""、""精致化""和""生活化""为开发手段,形成凸显城市文化并体现现代休闲体验需求的集""文化化""、""体验化""、""休闲化""、""创意化""、""人性化""、""精致化""、""生活化""和""特色化""于一体的历史街区""八化""旅游发展创新型模式。"	历史街区 旅游发展模式 机理 创新
74	马克思主义中国化的当代理论成果——学习习近平总书记系列重要讲话精神	党的十八大以来,习近平总书记系列重要讲话是新起点新阶段马克思主义中国化的最新理论成果,是党在新起点新阶段团结全党、统一全党,开展伟大斗争,继而赢得伟大胜利的思想武器。习近平总书记系列重要讲话科学地观察、分析、判断和把握国际复杂形势、发展趋势和客观规律,是顺应世界历史时代潮流的理论应答,同时鞭辟入里地分析国内形势,科学把握发展规律,顺国内发展大势而为,是指引中国特色社会主义发展的科学指南。习近平总书记系列重要讲话全面阐发和深度丰富了党的十八大精神,是对中国特色社会主义道路、理论体系和制度,对中国特色社会主义的基本理论、基本路线、基本纲领、基本经验和基本要求的科学论述,是全面阐述事关中国特色社会主义前途命运一系列重大原则问题的当代中国马克思主义重要文献,是对中国特色社会主义理论体系的丰富、发展和创新。习近平总书记系列重要讲话通篇贯穿了一脉相承、一以贯之的一条红线,这就是马克思列宁主义、毛泽东思想和中国特色社会主义理论体系所贯穿的基本立场、观点和方法,为我们树立了灵活运用马克思主义哲学的光辉典范。	习近平 马克思主义中国化 中国特色社会主义 改革开放
75	历史虚无主义思潮的表现、特点及其危害	"历史虚无主义思潮是迎合西方国家对我国的和平演变战略以及国内反社会主义势力的现实需要,以历史唯心主义为立论基础,以否定和虚无我国近现代历史为主要手段而泛起的一股反马克思主义政治思潮。其突出表现是:否定中国近现代历史,鼓吹""告别革命"";借""重新评价""五四运动,抹杀五四运动在中国近代历史上救亡图存的重要作用;否定社会主义改造,否定改革开放前中国共产党领导的社会主义建设;攻击马克思主义是""历史虚无主义"",否定马克思主义在意识形态领域的指导地位等。必须清醒把握历史虚无主义思潮反马克思主义、反社会主义的精神实质和危害,旗帜鲜明地批判和清除历史虚无主义的影响。"	历史虚无主义思潮 反马克思主义 反社会主义 表现
76	马克思世界历史理论的方法论意义	马克思的世界历史理论是批判地继承了黑格尔的世界历史思想的合理因素,运用其创造的唯物史观及剩余价值理论深入研究了近代以来世界经济与社会的运动及其发展趋势而创立的。世界历史理论是马克思主义的重要内容,也是马克思分析研究许多问题的重要背景和方法,又构成了科学社会主义的重要理论基础。重新理解和解读马克思的世界历史理论,对于我们总结社会主义发展的历史经验,研究和处理全球化时代的诸多重要问题,尤其是处理好民族主体与人类主体的关系问题,建设中国特色社会主义,走好中国道路,都具有非常重要的方法论意义。	世界历史理论 全球化 现代化 人类解放
77	法治与国家治理现代化	法治与国家治理体系和治理能力有着内在的联系和外在的契合。法治是国家治理的基本方式。依法治国、依法执政、依法行政、严格执法和公正司法,决定了推进国家治理现代化本体上和路径上就是推进国家治理法治化。现代法治为国家治理注入良法的基本价值,提供善治的创新机制,法治对于国家治理现代化具有根本意义和决定作用;法治化是国家治理现代化的必由之路,治理体系法制化和治理能力法治化是国家治理法治化的两个基本面向;从法治国家转型升级为法治中国、从法律之治转型升级为良法善治、从法律大国转型升级为法治强国以及加快构建中国特色社会主义法治体系是法治现代化之路的主要内容。	法治 良法善治 国家治理 法治化
78	国家治理现代化进程中的国家审计:制度保障与实践逻辑	国家审计是为满足国家治理的客观需要而产生和发展的,是国家治理体系中的一项基础性制度安排。从制度属性、法律地位和职能作用分析,国家审计是国家治理的基石,是推动国家治理现代化的重要保障。在新的历史时期,国家审计要适应全面深化改革和全面推进依法治国的新形势、新要求,加快完善审计制度,推进审计监督全覆盖,全面提升审计能力,更加有效地发挥审计的职能作用,推进国家治理体系和治理能力现代化。	国家审计 国家治理 国家治理能力 依法治国
79	国家认同:全球化视野下的结构性分析	"在""流动的现代性""的时代背景下,中国发展面临全球化的外力推动及社会内在转型的双向互动。在这一双重时空坐标中,对国家认同的考察不能醉心于国家认同的变迁与再建构的宏观研究层面,停留在公民认同、民族认同、政治认同等领域中具体形态的微观研究层面,而要加强沟通宏观与微观的中观层次学术考察。在梳理国家认同的概念基础上,""怎样获得国家认同""的问题自然被置换为""国家认同何以可能""的问题。消解个人层面的本体性焦虑,使其回归本体性安全及实现国家层面的国家向心力的生产和再生产,彰显国家认同的功能性力量。无论是基于理论逻辑阐述还是事实经验考察,国家认同都不能独立地发挥稳定且持久的作用,而是需要经济激励系统、政治价值系统与制度组织系统三方面的基础性结构支撑,这三个领域的功能匹配是国家认同得以可能的有效路径。"	国家认同 全球化 民族国家 系统功能
80	现代国家认同建构的政治逻辑	在人成为主体力量的现代社会,国家认同不是简单的国家观念或国家意识问题,而是国家建设本身的问题。在全球化、现代化与民主化的大时代背景下,围绕现代国家建设所形成的国家认同建构,是以民主为基本前提,以国家制度及其所决定的国家结构体系的全面优化为关键,最后决定于认同主体的自主选择。在国家与人、制度与人的有机互动中,国家结构体系的质量决定着其塑造民众国家认同的能力;而国家认同的形成过程也塑造着国家结构体系。因此,国家建设在努力改善国家认同的同时,必须时时从国家认同检视国家建设面临的问题与挑战,从而将国家制度的健全、国家结构体系的优化与国家认同的深化有机地统一起来。基于此,当代中国国家认同建构的战略议程应在学理上阐释中国现代国家产生与发展的历史逻辑,在理论上阐释国家及其制度的价值合理性与工具合理性,在制度上优化国家结构关系以实现多元化与一体化共存发展,在政策上实践国家发展与治理的基本价值。	国家认同 国家建设 国家结构体系 现代国家
81	自然资源国家所有权公权说再论	"从宪法与民法之别、权利与权力之别以及宪法第9条的完整表述来看,资源国家所有权的公权性确定无疑。作为国家对于公共资源的一种""公权性支配"",资源国家所有权的实质是对资源利用的""积极干预""权,内容在于保障自然资源的合理利用,通过立法、行政和司法加以行使,并为这三种权力施加规范与限制。在实践层面,资源国家所有权只有衍生出以资源实际利用者为主体、以对资源物的合理利用为内容的私权性的""资源利用权"",才能真正形成资源利用秩序。日常生活中在民法层面使用的""国家所有权""的本质是""公共法人所有权"",其并非严谨的法律概念,其成立须一系列条件支撑,范围较窄,其与""宪法国家所有权""的区别是划分""国有私物""与""国有公物""的前提。资源国家所有权来源于主权但不等于主权,其为资源主权的积极行使创设权力载体和概念装置,具有重要意义。"	自然资源 国家所有权 公权 私权
82	中国宪法上国家所有的规范含义	"中国现行宪法中的""国家所有""一词,不仅是经济学上的一种所有制,也是法学上的一种所有权。在法律地位、权能构造和权利外观上,国家所有权在宪法上和民法上并不存在差异。但在功能上,基于宪法第9条第1款关于""国家所有,即全民所有""的规定,国家所有权确实有特殊性,它不能为国家或政府的""私利""存在,而必须""为公民自由和自主发展提供物质和组织保障""。宪法第9条第1款和第10条第1、2款,赋予国家获得特定自然资源所有权的资格。具体的自然资源是否属于国家所有,依赖于法律对宪法上述条款的具体化和立法形成,在法律没有完成这项工作之前,特定自然资源属于没有进入物权法/财产法秩序的社会共有物,不属于国家所有的财产。对于这种共有物,国家可以基于主权以及由主权衍生的行政管理权来设定开发和使用规则,但不能作为所有权人获得相关财产性收益。"	自然资源 国家所有 所有权理论 宪法解释
83	加快法治建设促进国家治理体系和治理能力现代化	法治是治国理政的基本方式。加快法治建设对于全面推进依法治国、促进国家治理体系和治理能力现代化具有决定性意义。本文旨在通过对国家治理体系和治理能力现代化的涵义、内部结构及研究背景的全面、深入阐释,提出促进我国国家治理体系现代化建设的七大目标以及国家治理能力现代化建设的三大目标,并从目标、手段和路径三个层面分别诠释实现我国国家治理体系和治理能力现代化的基本要求。	法治建设 治理体系 治理能力
84	论国家治理现代化框架下的财政基础理论建设	中共十八届三中、四中全会围绕全面深化改革和全面推进依法治国做出的全新理论概括,标志着财政基础理论建设的重大突破:将财政定位于国家治理的基础和重要支柱,使其成为国家治理体系的重要组成部分,从根本上摆正了财政与财税体制的位置;作为各个领域改革的交汇点,财税体制改革在全面深化改革中的重点推进成为率先践行的突破口,从宏观上理清了财税体制改革与全面深化改革的关系;立足于现代财政制度与公共财政制度一脉相承的关系以及总体规划和顶层设计的需要,以公共性、非营利性和法治化三大特征,从总体上勾画了现代财政制度的基本形态。	财政基础理论 财税体制改革 国家治理体系 现代财政制度
85	依法治国与推进国家治理现代化	依法治国与国家治理是相互作用、相辅相成的关系。依法治国是推进国家治理现代化的重要内容和主要途径,而推进国家治理体系和治理能力现代化,核心是要推进国家治理法治化。坚持和实行依法治国,可以从宪法、法治、立法、依法执政等多方面推进国家治理现代化和法治化。为此,应当根据推进国家治理现代化的改革总目标,强化法治权威和良法善治,加强人民代表大会制度建设,完善法律体系,加强宪法和法律实施,推行法治建设指标体系,在加快建设法治中国进程中推进国家治理现代化。	法治中国 依法执政 国家治理 国家治理现代化
86	国际金融合作视野中的金砖国家开发银行	金砖国家开发银行是国际金融合作的创新形式。金砖国家基础设施建设存在巨大融资缺口,其庞大的外汇储备缺乏盈利渠道,成员国各自封闭式的管理成本高昂。基础设施投资需求和外汇储备盈利需求的耦合,成为设立金砖国家开发银行的现实动因。金砖国家经济的波动协动性和比较优势,使成员国间的合作利益得以优化。与其他合作方式相比,网络虚拟性使金融合作在短期内具有高效益。金砖国家经济的发展与稳定之间的抱互性关系,为其设立开发银行奠定基础。作为转型中的新兴大国金融合作机构,它自应选择一种适宜性机制,但在总体上仍需遵循市场规则和国际规则,依托政府和市场,设计适宜的低成本中长期融资管理机制。	金砖国家开发银行 国际金融合作 抱互性关系 适宜性机制
87	论国家治理商数	"国家兴亡,在一定程度上取决于国家治理商数的高低。国家治理商数简称""治商"",系以商数形式衡量国家治理水平的数量指标,其数值是国家治理体系、国家治理能力与国家治理成本的比值,其性质为量化治理、循""数""治国思想和技术的""合金"",其先进性在于内核为逻辑和运算所打造,其科学性为大数据和云计算等技术平台所保障。创制国家治理商数,是从经验式、试验式国家治理向量化科学治理转变的技术性支撑和基础性工程,其理论和实用价值在推进国家治理体系和治理能力现代化这一进程中尤为重要。国家治理商数可应用于以下领域:对国家治理现代化进程实现量化管理;作为判定我国在2020年是否实现国家治理现代化的""衡量标尺""和""核心标志"";编制各国治商报告以掌握治理领域国际话语权;编制国内各地治商报告以促推治理水平精进。"	国家治理 国家治理体系 国家治理能力 国家治理成本
88	国家认同视域下的公民道德建设	"通过国家认同视域探究公民道德,旨在寻找和确认公民道德的基本伦理关系,公民道德建设的合理性、合法性及其现实路径的方法5论和价值观。站在国家治理体系现代化的新的历史起点上,公民道德可以被理解为是一种关于国家与公民关系的价值同构和协同创新的""间性""道德,是一种嵌入于公民身份与公共生活的生成性道德。以国家与公民关系检视公民道德的基本概念与认知范式,以国家认同的理性认知、情感体验和美德践行规范公民道德的建构功能,以社会主义核心价值观引领和规范作为公民道德生成场域的公民身份和公共生活,构成了社会主义市场经济条件下深化公民道德建设研究的基本理论视域和学理焦点。"	国家认同 公民道德 社会主义核心价值观
89	国家治理体系与治理能力研究:回顾与前瞻	"2013年11月,党的十八届三中全会《关于全面深化改革若干重大问题的决定》提出,深化改革的总目标是""完善和发展中国特色社会主义制度,推进国家治理体系和治理能力现代化""。国家治理现代化这一命题的提出,大大激发了学术界对国家治理体系和治理能力研究的兴趣。本文从研究背景、基本概念、研究发展脉络和主要研究问题等方面对目前国内外有关中国国家治理体系和治理能力的相关研究进行了梳理与评述,并对未来研究方向进行了展望。"	治理 国家治理体系 治理能力 中国改革
90	我国国家资产负债表与自然资源资产负债表的编制与运用初探——以SNA 2008和SEEA 2012为线索的分析	党的十八届三中全会将编制国家资产负债表和自然资源资产负债表写在了大会发布的《决定》之中,这将成为相关机构、部门未来的重要战略任务。然而,我国在与此相关领域的理论准备和实践尝试均十分缺乏,大量基本问题亟待探讨和回答。着眼于此,本文对国家资产负债表和自然资源资产负债表的概念、内容及其相互关系进行了较为详尽的梳理,并总结了这两种报表与会计、审计的联系。在此基础上,作者阐述了编制和运用国家资产负债表、自然资源资产负债表的初步设想。	国家资产负债表 自然资源资产负债表 环境会计 自然资源管理
91	社会自我规制与行政法的任务	现代社会之下,政府规制难以应对各种复杂的经济社会问题。强化个人、企业、市场的自我意识极为重要,因此如何引导私人主体积极主动地展开自我规制,将成为国家规制模式发展成功与否的关键。这就导致行政法上各种主体的责任需要予以重新分配,一方面要充分诱导企业和社会组织积极展开自我规制,重视私法规范的作用;另一方面对自我规制进行后设规制,强调行政法规范与私法规范的衔接和协调。同时,实行社会自我规制,强化法律与社会共同发挥作用,对于推进国家治理体系和治理能力现代化意义重大。	政府规制 自我规制 后设规制 保障行政法
92	法治社会建设论纲	法治社会是法治中国一体建设的重要构成,它与法治国家、社会管理法治、社会法治国等范畴相关但不相同。建设法治社会是法治建设的夯基固本,是破解法治瓶颈的有效路径,是对人情社会的反思重构和对公共理性的培育与提升,有助于弥合转型中国的社会共识。法治社会具有法治的融贯性和社会的共治性两大特质。法治社会建设需要以公权力为主导,要求透过法治社会化实现社会法治化。当前,中国法治建设进入新阶段,需要处理法治失衡、法治失调、法治失信和法治失重等法治深化过程中的一般缺陷和特殊缺陷。以法治社会为重心的一体建设的法治发展观,符合法治的一般成长规律和中国社会的现状。	法治社会 法治国家 融贯性 共治
93	宪法上的“国家所有权”:一场美丽的误会	"国家所有权是近来学界讨论的热点,许多学者开始从公法角度探讨国家所有权,并主张宪法上""国家所有权""的存在。但这种观点并未认真从基本权利主体角度加以反思,未深入理解宪法财产权的社会本质,也未从我国宪法的文本、结构以及历史变迁角度对""国家所有""条款加以理解。综合各种因素,一个可能得出的结论是:宪法中的""国家所有""不能置于《宪法》第13条""私人财产权""的框架下理解,而需从《宪法》第12条""公共财产""的角度理解,物权法中的""国家所有权""需置于宪法""国家所有""的体系内才能得以诠释。"	国家所有权 财产权 基本权利 公共财产
94	国家所有的法律表达及其解释	我国宪法规定了作为公有制形式之一的国家所有制,却并没有确立其具体的法律实现机制。为满足发展市场经济的现实需要,物权法以国家所有权概念为基础初步建立了国家所有制的物权实现机制。然而,参照私有制-私人所有权模式而从国家所有制导出国家所有权的法学原理并未真正形成。建立在国家所有权概念基础上的物权实现机制,既表现出与国家所有制的疏离,又受宪法国家所有制规范的牵引而犹豫踟蹰,难以全面满足市场经济的实际需要。物权实现机制的尴尬处境,直接或间接地反映了两组要素之间的张力:旨在消灭剥削的社会主义理论-公有制-宪法规范-国家所有制-历史;重在发展生产力的社会主义理论-市场经济-物权法规范-国家所有权-现实和未来。这些张力所固有及由其所引发的制度矛盾和社会问题,需要通过全面深化改革和全面推进依法治国予以解决,当然也需要学术研究提供相关智识支持。	国家所有制 国家所有权 物权实现机制
95	论国家公园的公益性、国家主导性和科学性	国家公园作为一种严格保护并合理利用自然文化资源的可持续发展理念和举措而在全球得到普遍认可和蓬勃发展。国际上的国家公园因为国情不同而有多种体制模式,但是国家公园的根本特性是共同一致、必须维护的。公益性、国家主导性和科学性这三大特性是国家公园的根本特性,其中公益性是国家公园设立的根本目的,它包括了为公众利益而设、对公众低廉收费、使公众受到教育、让公众积极参与等方面,而国家主导性和科学性则是践行公益性的两大保障,前者要求国家确立、国家管理、国家立法、国家维护和爱国主义教育,后者则要求建立科学的国家公园体系、科学的规划、科学的分区和科学的经营利用等。中国国家公园的建立,面临着国情特殊、现行保护地多头管理、保护利用压力大等问题,应该利用风景名胜区等保护地开展试点,制定统一的中国国家公园标准,采用准入制度,并逐步探索统一的管理体系和法规体系,最终建立统筹管理的、中国特色的国家公园制度。	国家公园 公益性 国家主导性 科学性
96	地方法治建设及其评估机制探析	"超越国家整体主义法治观的分析模式,按照法治发展的阶段性和渐进性,可以把法治类型化为国家法治和地方法治。建设中国特色社会主义法治体系,建设社会主义法治国家,离不开地方法治的具体实践。地方法治现象是法治中国建设的阶段性和渐进性的表现形式,具有现实的社会基础和深刻的法理基础。全面推进依法治国,必然要求鼓励并支持地方法治化,通过""先行先试""探索和创新中国特色社会主义法治发展模式。地方法治化体现在法治的""文本—行动—观念""三个层面,即在地方实现制度系统的法治化、行动系统的法治化和观念系统的法治化。地方法治建设的评估机制和评估指标体系也应依此设置。地方法治在建构过程中应当与法治评估同步,要求做好顶层设计,进行地方立法评估,健全地方法治工作绩效考核机制,运用法治指数从整体上评估地方法治化水平。在坚持国家法治统一性的前提下,加强地方法治建设,优化地方法治评估机制,是全面推进依法治国的具体行动,也是从整体上实现法治中国最终目标的必然要求。"	依法治国 法治中国 地方法治 法治评估
97	企业政治资源的诅咒效应——基于政治关联与企业技术创新的考察	本文基于政治关联与技术创新的视角考察我国企业是否存在政治资源诅咒效应。结论显示:企业政治关联阻碍了企业创新活动,降低了创新效率,且这一负面效应大约会持续到企业获得政治关联后的第三年,从而证实了我国企业存在政治资源诅咒效应。其次,我们分析了政治资源诅咒的作用机制,发现政治关联会通过降低市场竞争、助长过度投资等影响企业创新,导致企业技术创新乏力、资源分散并产生挤出效应。最后,我们考察了创新与企业未来业绩敏感性以及政治关联在这一关系中的作用,发现政治关联也弱化了技术创新与企业业绩敏感性,从而进一步验证了政治资源诅咒效应的存在性,即政治资源加剧了企业粗放式发展,阻碍了企业自主创新,并最终无益于改善经济增长质量。	政治关联 技术创新 晋升锦标赛 创新—业绩敏感性
98	中国政治传播研究的学术路径与现实维度	正引言改革开放以来,中国特色社会主义民主政治实践遵循我国政治发展的内在规律,走出了一条符合中国国情的中国特色社会主义政治发展道路。中国特色社会主义政治文明越来越强有力地影响着人类政治文明的进程,增强了世界各国的政治传播研究对中国政治传播实践与发展的关注度。因此,建构适应政治发展所处的特定国情与时代环境,与中	政治传播学 公共政策议程 传播理论 政治传播研究
99	中国特色社会主义政治发展的实践前提与创新逻辑	"政治发展具有自主性,更具有很强的受动性,脱离不了经济社会发展的现实基础。探讨中国的政治发展,不能局限于政治发展自身,错综复杂的客观情势构成了中国特色社会主义政治发展的逻辑起点。理性辨识其科学定位就在于:以最小成本获取最大化收益是原则定位,实现最广泛的人民民主是目标定位,客观务实地走中国特色社会主义政治发展道路是道路定位。这三重维度的科学定位,既共同构成了中国特色社会主义政治发展的基本框架,又内在预设了战略选择应从优化政治参与结构,建构治理型民生政治参与入手。民生政治参与有利于促进社会公平正义,加强社会主义民主政治制度建设的""广泛多层制度化发展""。"	政治发展 中国特色社会主义 社会主义民主政治 民生政治参与
100	政治关联影响我国上市公司长期绩效的三大效应	"政治关联能否带来上市公司股票的长期超额回报?Fan et al.(2007)认为政治关联带来的是业绩的减损和长期负回报,但是于蔚等(2012)提出了不尽相同的观点。综述政治关联文献,本文提出了社会负担效应、产权保护效应和政府偏袒效应三大假说。分析我国上市公司的面板数据,本文发现政治关联有助于提高我国上市公司的长期绩效。进一步研究发现,政治关联的长期正回报主要来源于民营企业,政治关联和上市公司长期绩效的关系在国有控股企业中并不显著。政治关联的作用机理是,在国有控股企业中,政治关联不仅引致政府偏袒,而且带来社会负担;在民营控股企业中,政治关联不但有助于产权保护,而且有助于获得政府的关照。因此,政治关联影响了公平竞争,产生着新型的""政企不分""。"	政治关联 IPO长期表现 社会负担效应 产权保护效应
101	政治关联、高管薪酬与企业未来经营绩效	本文紧密结合中国的制度背景,考察不同产权性质的企业中政治关联对高管薪酬的影响,以及这种影响对公司未来经营绩效的作用。以2001~2011年间的非金融A股上市公司为样本,本文研究发现,在控制其他影响高管薪酬的经济因素和公司治理因素后,不管是在国有企业还是在非国有企业中,政治关联公司的高管都获得了显著较高的薪酬。但是,在国有企业中,由政治关联导致的高管超额薪酬与公司未来的经营绩效显著负相关;而在非国有企业中,由政治关联导致的超额薪酬则与公司未来的经营业绩显著正相关。这些结果表明,政治关联的国有企业高管获取了过度薪酬,是一种有损企业未来绩效的机会主义行为;而政治关联的非国有企业高管所获得的较高薪酬则是对其较强的寻租能力的一种补偿和激励。此外,本文进一步的检验还发现,在中央政府控制的国有企业中,以及在政府干预较强的地区,政治关联的国有企业高管的过度薪酬问题更加严重。	高管薪酬 政治关联 经营绩效 公司治理
102	反腐败与企业创新:基于政治关联的解释	"本文以中共十八大以来中央强烈反腐败为背景,采用双重差分方法讨论了反腐败对企业创新的影响。研究发现,寻求政治关联和提高创新能力是企业发展的两个互为替代的手段。反腐败由于增加了企业谋求政治关联的相对成本,显著提高了企业的创新激励。在反腐败政策出台以后,具有政治关联的企业的研发支出显著增加,反腐败促进了企业创新。进一步研究表明,反腐败对企业创新的影响会随着企业性质的不同而变化。对于国有企业,反腐败只能促进其高管有从政经历的企业的创新:对于非国有企业,反腐败对企业创新具有更普遍的正向影响。同时,反腐败对企业创新的影响具有省级层面的异质性,反腐败越强的省份,有政治关联的企业的创新水平增幅越大。本文从政治关联的视角为""反腐有利论""提供了基于企业创新的证据。"	反腐败 政治关联 企业创新 双重差分
103	何种信任与为何信任?——当代中国公众政治信任现状与来源的实证分析	"本文旨在从政治信任类型、政治信任稳定性、政治信任来源等方面全方位考察当代中国公众的政治信任样态,以期从一个侧面回应国内外学术界关于当代中国公众政治信任水平的理论论争。为此,以期望和风险为核心理论视角,以东亚民主化调查中关于中国大陆的数据为样本进行统计分析。统计分析结果显示,当代中国公众对于中央政府的信任要高于对地方政府的信任,对于政治体系执政能力的信任要高于其为民执政意愿与品质的信任,存在着""中央-地方""与""能力-意愿""双重差序信任格局;当代中国公众对政治体系的信任更多倚重于政治体系的过往声誉与当下的表现,而不是依据是否存在对政治主体的失信惩罚机制的判断,公众的政治信任稳定性不高,比较容易因为社会事件和思想风潮而出现波动;在政治信任来源方面,公众对政治体系治理绩效的感知和儒家文化传统会影响公众的政治信任,但是,公众对政府治理绩效的评价对政治信任的影响力度更大,是公众政治信任的主要来源。基于上述统计结果,发现学界对政治信任的粗线条或""省略式""测量是造成政治信任水平测量结果差异的重要原因之一。"	政治信任 期望 风险 治理绩效
104	政治经济学批判:追求经济的“政治和哲学实现”	"政治经济学是关于社会财富的学问,政治经济学批判是以政治经济学作为反思对象的哲学批判程式,它既是思辨的政治经济学,也是一种更为深刻的社会存在论追问,其要义是追求经济的""政治与哲学的实现""。马克思曾把""政治经济学""表述为关于""市民社会的解剖学"",而把""政治经济学批判""直接作为《资本论》的副题。政治经济学批判之所以具有强大的思想穿透力和实践变革力,其独特优势在于:政治经济学批判始终坚持哲学、政治学与经济学互动的传统,对经济所关涉的思想维度、政治维度以及历史价值维度的偏重,使得单一的经济学分析视角,直接转入综合系统分析的哲学社会科学的优势学术资源中,从而使思想家、理论家、政治家在考量物质生产力发展和社会财富运动的同时,对追求历史进步和人类解放亦给予高度关注。"	政治经济学批判 谱系解读 哲学在场性
105	慈善捐赠、政治关联与债务融资——民营企业与政府的资源交换行为	"民营企业的慈善捐赠是为寻求金融资源而与政府互惠的一种战略行为。本文以2007-2010年1489家民营上市公司为样本,验证了民营企业慈善捐赠对债务融资的影响,并进一步考察了政治关联和政府的作用。研究发现,民营企业慈善捐赠有助于债务融资。这种效应主要发生在政治关联民营企业中,而且信贷分配市场化程度越高,慈善捐赠对债务融资的影响越小,政治关联对两者关系的影响也越小。进一步研究发现,慈善捐赠对债务融资的影响主要体现在长期借款上,管制行业政治关联民营企业的慈善捐赠更有助于债务融资。政府通过对信贷分配的干预与民营企业进行资源交换,是政治关联民营企业慈善捐赠影响债务融资的关键。本文的研究立足于经济社会转型期中国的现实情境,从债务融资角度,证实了民营企业通过慈善捐赠""购买""金融资源的行为逻辑,这对于理解我国民营企业慈善捐赠动机和影响有重要的参考价值。"	民营企业慈善捐赠 政治关联 债务融资 资源交换
106	民营企业的社会责任、政治关联与债务融资——来自中国资本市场的经验证据	本文从民营企业社会责任战略性运用的角度,研究我国民营企业的政治关联、社会责任与债务融资之间的关系。对2008-2010年沪深两市A股民营上市公司的实证研究发现:我国民营企业中政治关联的确广泛存在,政治关联能给企业带来贷款、特别是长期贷款的融资便利,地方性政治关联与长期贷款的正向显著性比中央性政治关联更强;社会责任履行度越高越有助于民营企业获得贷款,并且企业社会责任的履行能够帮助企业建立政治联系。本研究为我国转轨经济时期民营企业寻求替代性机制来解决融资约束问题提供了实证证据。	社会责任 政治关联 债务融资 民营企业
107	论协商民主在宪法体制与法治中国建设中的作用	"法治中国建设需要在体制框架下系统推进。法治中国所依赖的体制框架,由社会主义民主制度所塑造。社会主义协商民主系统回应了社会主义的规定性、党的领导、新中国的民主传统和法治中国建设的本土资源等核心命题,是法治中国建设的重要资源。在以人民主权为逻辑起点的""执政党—政权—人民""的宪法体制中,协商民主发挥了功能耦合的作用。人民主权基于中国共产党领导下的多党合作与政治协商而获得政治正当性,从而将执政党的意志升华为国家意志;协商民主构成国家决策的实质过程,由此可建构起""执政党—政协—人大""的内在逻辑链条;人民政协的民主监督则是政治协商的延续。由此,法治中国建设所依赖的体制框架得以清晰展现。"	协商民主 宪法体制 法治中国建设 人民代表大会制度
